Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,cluster
8,0,0.514113002,0.566779328,0.565340757,0.613312386,0.613312386,0.999153963,0.797617722,0.809496933,0.303536128,0.781769554,0.000131016,469000000.0,0.473198963,0.000179018,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.333274386,0.01836139,0.111717287,0.185659411,0.022115585,0.848062968,0.689601868,0.689600338,0.217602709,6880000000.0,0.000464351,0.264218166,0.390344995,0.009045214,0.006555315,0.630816016,0.003776252,0.086343985,0.913656015,0.005274454,0.373070548,0.006560154,0.111721791,0.184669331,0.397761055,0.064467766,0.000710134,0.008906271,6970000000.0,870000000.0,0.019032258,0.011010091,0.399029873,0.016982847,0.780637746,0.250131082,0.324360466,0.037732651,0.006793249,0.002954306,0.067444711,0.366600236,0.277360076,0.006167661,0.727300651,0.733675796,0.328696064,0.006272352,0.93813288,0.002517348,0.011735276,0.000203593,0.000160733,0.59396447,6460000000.0,0.67157157,0.393043355,0.727300651,0.328696064,0.113672571,0.642379287,0.459115458,0.638581131,0.314493636,0.032198762,0,0.815698137,0.00306821,0.624210291,0.61331342,0.841335501,0.277517807,0.026846957,0.565411119,1,0.044359183,2
9,0,0.522741676,0.579535543,0.575566144,0.619113853,0.619113853,0.99907516,0.797524895,0.809443422,0.303539028,0.781705694,0.000303083,0.00033227,0.483886498,0.0,0.0,0.229109603,0.229109603,0.229109603,0.236172828,0.3413737,0.034484323,0.113590099,0.189350004,0.02209207,0.848040875,0.68952301,0.68952301,0.217600088,8130000000.0,0.00051129,0.264159887,0.39593346,0.033727196,0.029554441,0.630612252,0.001596768,0.043837107,0.956162893,0.018281446,0.369637181,0.005365848,0.113366554,0.18673554,0.397518565,0.127436282,0.000951579,0.006645974,7890000000.0,0.002943533,0.025483871,0.025245656,0.401562606,0.000956828,0.945411246,0.804115155,0.864584141,0.371260615,0.030183439,0.04023052,0.048598866,0.407815245,0.27704118,0.00949243,0.994140787,0.741402519,0.327686668,0.0,0.949215058,0.002339987,0.040591001,0.000297053,0.000281787,0.594089678,0.000344965,0.671580779,0.01779719,0.994140787,0.327686668,0.110933234,0.654738832,0.465697575,0.666422887,0.315864293,0.0086253,0,0.822099152,0.002259175,0.624265638,0.619115545,0.841468394,0.275937357,0.026791157,0.565158396,1,0.087299894,2
10,0,0.474918344,0.53368949,0.529739279,0.601976102,0.601976102,0.99896227,0.797381021,0.809314787,0.303523559,0.781567448,0.000140961,7420000000.0,0.462868742,0.000140014,0.0,0.176351608,0.176351608,0.176351608,0.214616621,0.319162481,0.012402257,0.095269115,0.169993221,0.022084294,0.847934694,0.689195,0.689195,0.217566493,6360000000.0,0.000441892,0.263898796,0.377715063,0.009063934,0.004084283,0.632849208,0.003958635,0.089246304,0.910753696,0.00518808,0.373851164,0.005365848,0.095274154,0.168984239,0.399178482,0.070464768,0.001809826,0.003492488,3480000000.0,8250000000.0,0.019677419,0.008895025,0.391985708,0.013555285,0.790928956,0.204896475,0.435557199,0.032718875,0.0041387,0.001922046,0.090050943,0.344861066,0.277786062,0.013067452,0.943968239,0.734310506,0.329586734,0.001157939,0.937875415,0.002242013,0.013041646,0.00024893,0.000117296,0.593975075,5060000000.0,0.671581475,0.429477803,0.943968239,0.329586734,0.111618064,0.65060025,0.461423945,0.576953451,0.315592892,0.03213287,0,0.796865414,0.003257345,0.623102722,0.601977769,0.840101288,0.277649892,0.037216642,0.569733495,1,0.04284071,2
13,0,0.590113587,0.611753162,0.634991167,0.611402586,0.611402586,0.999206422,0.797671951,0.809557996,0.303521384,0.7818518,4790000000.0,1820000000.0,0.522078794,0.0,0.086648446,0.203826219,0.203826219,0.203826219,0.245438215,0.340100446,0.024260024,0.122954157,0.19545078,0.022052546,0.848000666,0.689317485,0.689317485,0.217583924,6120000000.0,0.000446309,0.263527364,0.388836109,0.038214545,0.034423515,0.630612252,0.000762363,0.022674366,0.977325634,0.005266195,0.369637181,0.005365848,0.122974579,0.194480054,0.3958975,0.115442279,0.001079403,0.005853546,0.000210754,0.000136926,0.022741935,0.011779739,0.40158522,0.01183032,0.873352424,0.500338929,0.528407786,0.372755225,0.034819394,0.074423575,0.026157935,0.515897129,0.277029651,0.00910871,0.961117994,0.737434008,0.326925726,0.0,0.953402194,0.003231299,0.008261482,0.00017519,0.000171282,0.594024089,0.000343729,0.671572185,0.47518488,0.961117994,0.326925726,0.110933234,0.642770967,0.459121413,0.713684158,0.314550153,0.007584956,0,0.844408117,0.009663373,0.622829943,0.611404304,0.842483068,0.275331798,0.026791157,0.565158396,1,0.159041554,2
14,0,0.501876859,0.54769952,0.562556882,0.64778247,0.64778247,0.999075622,0.797458907,0.80941556,0.303422771,0.781682115,0.000762507,0.000545351,0.458042492,0.00040204,0.0,0.180481227,0.180481227,0.180481227,0.21716933,0.314210936,0.005278521,0.098037619,0.172026813,0.022128369,0.848152409,0.690614231,0.690614231,0.217730145,0.000240907,0.001577192,0.264477702,0.372210424,0.025580575,0.016559221,0.631268407,0.002318095,0.059678931,0.940321069,0.006528565,0.370638114,0.005365848,0.098001856,0.170439635,0.398930633,0.047976012,0.001213314,0.005214822,516000000.0,0.000158865,0.016129032,0.001827182,0.392630198,0.001828006,0.923511033,0.583712634,0.825506178,0.51102537,0.01743823,0.044096691,0.061151661,0.331215752,0.277186018,0.021363814,0.939162118,0.740896101,0.328203922,0.000405628,0.902462229,0.002262493,0.029471394,0.001090129,0.000777268,0.594490877,0.001759956,0.672187705,0.126543383,0.939162118,0.328203922,0.111328463,0.874109759,0.553951315,0.545538407,0.341665262,0.011435478,0,0.801562099,0.00078652,0.62434957,0.647778623,0.840367205,0.276460216,0.027137554,0.566402337,1,0.064648238,2
16,0,0.480865792,0.546990842,0.529953424,0.595994465,0.594862999,0.998925989,0.797466377,0.809372595,0.303748823,0.781622466,630000000.0,2530000000.0,0.459938099,730000000.0,0.193035732,0.188108381,0.188108381,0.188108381,0.218682046,0.316403763,0.016289305,0.092582037,0.174964224,0.021980848,0.8478369,0.689864408,0.689864408,0.217644872,6850000000.0,0.000438823,0.264645546,0.374464439,0.012408074,0.010567233,0.630635882,0.002255173,0.058348702,0.941651298,0.011828019,0.370418916,0.006485815,0.092725585,0.173697308,0.397242582,0.088455772,0.000752742,0.008404172,0.000217823,0.00128302,0.020322581,0.029511038,0.38853712,0.002731253,0.806475438,0.355070845,0.394708525,0.184521773,0.010820093,0.016204449,0.060079325,0.336552518,0.277108462,0.004453141,0.942105407,0.734803892,0.32815743,0.0,0.934366853,0.002413187,0.008650838,0.000180249,0.000167069,0.593982845,0.000232806,0.671580943,0.03200562,0.942105407,0.32815743,0.110933234,0.651794539,0.462980901,0.556457487,0.315599735,0.023600123,0,0.805229609,0.007206794,0.624691097,0.595992902,0.840577851,0.276414378,0.026797073,0.565186447,1,0.066087491,2
17,0,0.484960757,0.539576973,0.538786873,0.618227418,0.618025627,0.99897706,0.797438571,0.809358013,0.30359341,0.781666536,0.000383682,0.000392374,0.469099083,0.0,0.071161049,0.168682314,0.168682314,0.168682314,0.217736598,0.320011318,0.007229608,0.095757674,0.171424268,0.022091754,0.848214229,0.693447325,0.693447325,0.217977921,7050000000.0,0.000445685,0.26418553,0.382353489,0.021049544,0.016748868,0.630612252,0.001413473,0.039453397,0.960546603,0.005888106,0.369637181,0.005365848,0.095730128,0.170469799,0.396744205,0.061469265,0.00069796,0.009067659,0.000104135,0.000147517,0.016451613,0.012308506,0.392607585,0.010756125,0.835066539,0.38072166,0.429431625,0.213727256,0.018021501,0.029020235,0.038688334,0.360856455,0.277079776,0.008166463,0.870456569,0.735960786,0.327358144,0.0,0.931023949,0.002258924,0.029535064,0.000291052,0.000263326,0.594063405,0.000388952,0.671641481,0.209482079,0.870456569,0.327358144,0.110933234,0.692111761,0.488690157,0.592409897,0.319880726,0.013926493,0,0.800956986,0.000742147,0.624057952,0.618227137,0.840309131,0.275804169,0.026791157,0.565158396,1,0.096441088,2
28,0,0.493833179,0.591146969,0.536217142,0.602646334,0.602646334,0.999017386,0.797532919,0.809426887,0.303673896,0.781606747,9660000000.0,0.0,0.466292578,0.000205021,0.167020954,0.190257469,0.190257469,0.190257469,0.221612934,0.323654241,0.038053753,0.105284586,0.190931686,0.022079364,0.848017312,0.689630779,0.689630779,0.217580987,6650000000.0,0.000479299,0.26435959,0.382958906,0.017493861,0.014913529,0.630639991,0.003408749,0.080176558,0.919823442,0.007167607,0.370232149,0.005365848,0.105264872,0.189917804,0.40097505,0.178410795,0.00071622,0.008837104,0.000220689,0.000532574,0.036935484,0.019749423,0.39567174,0.00234809,0.891230363,0.725072279,0.784446509,0.393125627,0.01561161,0.02453507,0.084733276,0.355159863,0.277062403,0.005211062,0.984423191,0.739908764,0.32925133,0.0,0.946856187,0.002503283,0.021724283,0.000172426,0.000164368,0.593998188,0.000241682,0.671655414,0.084383857,0.984423191,0.32925133,0.110933234,0.817842504,0.513537652,0.603138633,0.337001408,0.016769337,0,0.830716241,0.001424447,0.62441037,0.602647957,0.842255993,0.277250934,0.026798351,0.565192467,1,0.047903515,2
29,0,0.513869254,0.5611099,0.554312329,0.609290996,0.609290996,0.999084866,0.797501239,0.809388869,0.303477395,0.781639589,0.000135642,3110000000.0,0.474861394,0.000247025,0.283125822,0.187476297,0.187476297,0.187476297,0.222652926,0.327084954,0.024562518,0.109437342,0.180387136,0.0221211,0.848066215,0.689403296,0.689403296,0.217592104,6890000000.0,0.000445461,0.263993597,0.385855594,0.013398398,0.009359478,0.630666703,0.002468562,0.062732412,0.937267588,0.005359187,0.370672783,0.006052574,0.10909994,0.179443481,0.398298284,0.131934033,0.001324906,0.004775059,0.000114071,0.000196689,0.026612903,0.0076818,0.395117704,0.005168763,0.810266667,0.287886798,0.393945908,0.101244278,0.009499477,0.009602205,0.055594892,0.373679556,0.277245913,0.010417449,0.813349566,0.735057047,0.32804399,8090000000.0,0.937523565,0.002341788,0.026448365,0.000115304,8660000000.0,0.593963306,8540000000.0,0.671569233,0.347774568,0.813349566,0.32804399,0.110971709,0.638231384,0.457438359,0.634263249,0.314008365,0.021872065,0,0.813265898,0.003245348,0.623968014,0.609290937,0.841061985,0.276569493,0.026792488,0.565164737,1,0.061498973,2
31,0,0.542144006,0.596053205,0.585042026,0.617023883,0.617182433,0.999139866,0.797615923,0.80948196,0.303562714,0.781757484,0.000207221,362000000.0,0.471945849,0.0,0.213786821,0.184610847,0.184610847,0.184610847,0.236172828,0.3289241,0.025318753,0.116358603,0.191458914,0.022102294,0.848033511,0.689381598,0.689381598,0.217591984,6920000000.0,0.000473609,0.263901905,0.391006296,0.014374994,0.013111878,0.630612252,0.003301143,0.078332376,0.921667624,0.006012132,0.369637181,0.005365848,0.116338528,0.190475831,0.399939445,0.133433283,0.00056202,0.011246835,0.000217632,0.000419856,0.029032258,0.025269157,0.407023812,0.00779617,0.848967006,0.604278223,0.618598293,0.286493303,0.013581452,0.018656023,0.081189349,0.371243357,0.277030139,0.002402557,0.964273126,0.737460554,0.329097856,0.0,0.945187008,0.002412379,0.034864012,0.000186573,0.000188065,0.593994175,0.000239623,0.671574531,0.160953073,0.964273126,0.329097856,0.110933234,0.646384719,0.460370511,0.644128577,0.3150057,0.020396855,0,0.833186683,0.001070028,0.624064234,0.617022977,0.842393406,0.277173458,0.026791169,0.565158453,1,0.049074638,2
